Year,Well,Sick,Dead,Dead_BG,Dead_Disease
77,0.2668386365859007,0.05386584064333523,0.6792955227707628,0.24683347991374516,0.43246204285701795
78,0.2519448809093649,0.051587815113623876,0.69646730397701,0.258765229159833,0.4377020748171772
79,0.2368115265092324,0.04918177025330711,0.7140067032374592,0.2712971304562807,0.44270957278117884
80,0.22167117102454467,0.04668834832659702,0.7316404806488571,0.28416592242933625,0.4474745582195211
81,0.2062349080847485,0.04405453704673399,0.7497105548685163,0.29772448565075105,0.4519860692177655
82,0.1907353735170144,0.04132040377629836,0.767944222706686,0.311711275858472,0.45623294684821425
83,0.17519834966718545,0.03849161018705467,0.7863100401457587,0.3261038988716217,0.46020614127413717
84,0.15967829526775812,0.035579295752833945,0.8047424089794067,0.3408449289965611,0.46389747998284586
85,0.14435176629728935,0.03261972915893605,0.8230285045437734,0.3557276810175699,0.46730082352620367
86,0.12916506017217727,0.02960572104459778,0.8412292187832238,0.37081724323788934,0.47041197554533465
87,0.11447794308078343,0.026612773192844073,0.8589092837263712,0.38568055581590455,0.473228727910467
88,0.10012827230610721,0.02361518648175553,0.8762565412121359,0.40050353191620874,0.47575300929592756
89,0.08630262550469345,0.020654994822308304,0.8930423796729969,0.415056089968871,0.47798628970412627
90,0.0731900885413071,0.01777903384252353,0.9090308776161681,0.42909688991304307,0.4799339877031253
91,0.06097193819228222,0.015035749577151791,0.9239923122305648,0.44238646743841037,0.4816058447921546
92,0.049809543029698006,0.012471823870767396,0.9377186330995334,0.45470262903524455,0.4830160040642891
93,0.039831920647142804,0.010128676019121964,0.950039403333734,0.465856619622431,0.48418278371130324
94,0.03112466001764154,0.008039118410434228,0.960836221571923,0.4757080818961425,0.4851281396757808
95,0.023722050412645433,0.0062245856284267875,0.9700533639589266,0.4841765281799275,0.4858768357789993
96,0.017603965183533608,0.004693374500352865,0.9777026603161123,0.49124728406971735,0.48645537624639523
97,0.012698443834156161,0.0034402488436230012,0.9838613073222195,0.496970513453057,0.4868907938691629
98,0.008889899755948972,0.0024475476858207426,0.988662552558229,0.5014531350667338,0.48720941749149554
99,0.006031802112202143,0.0016876607933839424,0.9922805370944126,0.5048447834455768,0.4874357536488362
100,0.003961778771235477,0.0011264619468810471,0.994911759281882,0.5073201556603668,0.48759160362151566
