Year,Well,Sick,Dead
43,0.19646418495350168,0.021662477946768392,0.7818733370997288
44,0.18822811446601959,0.021253488186405864,0.7905183973475735
45,0.18029882422252386,0.02083674199624746,0.7988644337812276
46,0.17266683735626376,0.02041349790230841,0.8069196647414267
47,0.1653228734131677,0.019984942491123377,0.8146921840957079
48,0.15825784916086447,0.019552192844658912,0.8221899579944756
49,0.15146287908139297,0.019116298958032782,0.8294208219605732
50,0.14492927556320997,0.018678246136103825,0.8363924783006851
51,0.1386485488078579,0.01823895736527441,0.8431124938268666
52,0.132612406466388,0.017799295657118706,0.8495882978764923
53,0.12681275302034703,0.01736006636071397,0.855827180618938
54,0.12124168892183172,0.016922019440808192,0.8618362916373592
55,0.11589150950679664,0.01648585171920567,0.8676226387739968
56,0.11075470369546703,0.016052209076992258,0.8731930872275399
57,0.1058239524933636,0.015621688615453651,0.8785543588911818
58,0.10109212730609032,0.015194840773763395,0.8837130319201454
59,0.0965522880806712,0.014772171401731843,0.888675540517596
60,0.09219768128584968,0.014354143786113289,0.8934481749280361
61,0.08802173774338548,0.013941180629165594,0.898037081627448
62,0.08401807032200032,0.013533665978345169,0.9024482636996536
63,0.08018047150523583,0.0131319471061998,0.9066875813885634
64,0.07650291084409837,0.012736336339692813,0.9107607528162078
65,0.07297953230497276,0.012347112838354473,0.9146733548566717
66,0.06960465152289673,0.011964524320810289,0.9184308241562918
67,0.06637275296989593,0.011588788739381274,0.9220384582907216
68,0.06327848704769062,0.011220095902588288,0.92550141704972
69,0.06031666711369804,0.010858609045521432,0.9288247238407794
70,0.057482266448870965,0.010504466348156341,0.9320132672029716
71,0.05477041517553302,0.010157782401812292,0.9350718024226536
72,0.05217639713299681,0.009818649624052354,0.9380049532429497
73,0.049695646718380844,0.009487139622423764,0.9408172136591944
74,0.04732374569967798,0.009163304507527378,0.9435129497927935
75,0.04505642000777033,0.008847178155988714,0.9460964018362399
76,0.04288953651373552,0.008538777423979849,0.9485716860622836
77,0.04081909979744604,0.008238103312011823,0.9509427968905411
78,0.03884124891312797,0.007945142081781011,0.95321360900509
79,0.036952254157218194,0.007659866325910757,0.95538787951687
80,0.0351485138435402,0.0073822359914815375,0.9574692501649772
81,0.03342655109050816,0.007112199358289217,0.9594612495512016
82,0.03178301062476751,0.006849693972811899,0.9613672954024196
83,0.030214655605387584,0.006594647538901689,0.9631906968557098
84,0.02871836447243852,0.006346978766248613,0.964934656761312
85,0.027291127823510238,0.006106598177690168,0.9666022739987987
86,0.025930045321466588,0.005873408876461856,0.9681965458020707
87,0.02463232263647209,0.005647307274501703,0.9697203700890253
88,0.02339526842508242,0.005428183782935492,0.9711765477919813
89,0.02221629134895318,0.005215923465879455,0.9725677851851665
90,0.021092897135493685,0.0050104066587036665,0.9738966962058018
91,0.020022685682574558,0.004811509551902619,0.975165804765522
92,0.019003348209188673,0.004619104741719634,0.9763775470490909
93,0.018032664453765168,0.004433061748669085,0.977534273797565
94,0.01710849992164525,0.004253247505095077,0.9786382525732589
95,0.01622880318304647,0.004079526812897423,0.9796916700040552
96,0.015391603222668795,0.003911762772545731,0.9806966340047846
97,0.014595006841930908,0.003749817184490246,0.981655175973578
98,0.013837196114668895,0.003593550924064071,0.9825692529612662
99,0.01311642589698116,0.003442824290955602,0.9834407498120624
100,0.01243102139176331,0.0032974973343126573,0.9842714812739233
